Año;Departamento;Municipio;Operadora;Campo;Contrato;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Total;
2013;TOLIMA;ESPINAL;PACIFIC STRATUS ENERGY;ABANICO;ABANICO;1220,709677;1258,892857;1248,903226;1220,833333;1194,677419;1112,8;1014,354839;995,2580645;1014,6;1142,322581;1148,1;1160,096774;13731,54877;
2014;TOLIMA;ESPINAL;KAPPA RESOURCES COLOMBIA LTD.;ABANICO;ABANICO;1094,483871;1114,892857;1089,129032;1114,2;1073;1029,566667;1015,419355;1004,16129;1013,866667;958,483871;925,7;913,26;12346,16361;
2015;TOLIMA;ESPINAL;KAPPA RESOURCES COLOMBIA LTD.;ABANICO;ABANICO;868,8064516;807,9642857;838,9677419;829,8666667;725,7096774;732,8333333;744,6451613;747;749,9666667;782,3225806;744,3333333;798,6129032;9371,028802;
2016; TOLIMA ; ESPINAL ; KAPPA RESOURCES COLOMBIA LTD. ; ABANICO ; ABANICO ;929,16;814;0;0;0;0;0;0;0;0;0;0;1743,16;
2016; TOLIMA ; ESPINAL ; PACIFIC STRATUS ENERGY COLOMBIA CORP ; ABANICO ; ABANICO ;0;0;709,6129032;832,1333333;816,7096774;827,5666667;814,1935484;814,5483871;830,8;816,7096774;776,1666667;765,7096774;8004,150538;
2017;TOLIMA;ESPINAL;PACIFIC STRATUS ENERGY COLOMBIA CORP;ABANICO;ABANICO;812,5483871;822,6071429;780,3870968;786,8333333;717,9677419;710,5;674,483871;593,6129032;587,3;684,5483871;728,4;624,3225806;8523,511444;
2018;TOLIMA;ESPINAL;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;ABANICO;ABANICO;569,3870968;586,3928571;587,9677419;605,7666667;633,8709677;709,4666667;678,9677419;649,1290323;508,6333333;471,1935484;509,9;515,6774194;7026,353072;
2019;TOLIMA;ESPINAL;Frontera Energy Colombia Corp Sucursal Colombia;ABANICO;ABANICO;503,19;476,82;456,23;424,83;469,35;460,9;469,61;477,74;464,63;454,87;457,44;482,28;5597,89;
2020;TOLIMA;ESPINAL;Frontera Energy Colombia Corp Sucursal Colombia;ABANICO;ABANICO;0;0;0;472,8;436,48;461,2;497,81;478,22;405,57;398,07;397,8;393,66;3941,61;
2020;TOLIMA;ESPINAL;Frontera Energy Colombia Corp Sucursal Colombia;ABANICO;ABANICO;507,72;482,58;486,56;0;0;0;0;0;0;0;0;0;1476,86;
2021;TOLIMA;ESPINAL;Frontera Energy Colombia Corp Sucursal Colombia;ABANICO;ABANICO;391,81;386,32;358,97;365,3;355,8;353,68;359,12;342,52;328,14;319,69;348,18;349,52;4259,05;
2022;TOLIMA;ESPINAL;Frontera Energy Colombia Corp Sucursal Colombia;ABANICO;ABANICO;365,34;368,66;378,28;311,66;265,49;241,81;242,73;243,22;335,78;299,44;321,88;344,61;3718,9;
2023;TOLIMA;ESPINAL;FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA;ABANICO;ABANICO;354,97;322,88;262,99;307,93;313,35;299,32;321;301,86;304,93;273,51;331,23;344,83;3738,8;
2013;BOYACA;PUERTO BOYACA;MANSAROVAR ENERGY COLOMBIA LTD.;ABARCO;NARE;5027,193548;5051,25;5700,419355;5654,4;5240,032258;5066,3;5580,645161;5647,935484;5562,066667;5959,612903;6533,966667;6279,419355;67303,2414;
2014;BOYACA;PUERTO BOYACA;MANSAROVAR ENERGY COLOMBIA LTD;ABARCO;NARE;6637,612903;5847,214286;5845,967742;5952,033333;5618,967742;5356,266667;6123,903226;5764,193548;5711,666667;6558,064516;6239,73;5999;71654,62063;
2015;BOYACA;PUERTO BOYACA;MANSAROVAR ENERGY COLOMBIA LTD;ABARCO;NARE;6770;6565,892857;6151,709677;5867,5;6687,806452;6126,4;7254,741935;6626,193548;6747,366667;6029,806452;6629,166667;5756,709677;77213,29393;
2016; BOYACA ; PUERTO BOYACA ; MANSAROVAR ENERGY COLOMBIA LTD ; ABARCO ; NARE ;5899,483871;5841,724138;5678,483871;5668,166667;5103,064516;4822,833333;4494,451613;4533,129032;4656,666667;4289,580645;3893,5;3986,193548;58867,2779;
2017;BOYACA;PUERTO BOYACA;MANSAROVAR ENERGY COLOMBIA LTD;ABARCO;NARE;3550,064516;3913,964286;3398,741935;3338,9;3654;3773,142667;3808,665484;3596,020968;3203,679667;3440,726129;3236,128667;3305,66;42219,69432;
2018;BOYACA;PUERTO BOYACA;MANSAROVAR ENERGY COLOMBIA LTD;ABARCO;NARE;3408,318387;3669,928214;3629,268387;4212,234667;3746,409677;3423,801;3671,625161;3932,48129;3586,841333;3616,065161;3458,095;3522,172903;43877,24118;
2020;BOYACA;PUERTO BOYACA;MANSAROVAR ENERGY COLOMBIA LTD;ABARCO;NARE;2957,72;2842,31;2823,12;2976,47;2774,35;2553,43;2658,67;2733,8;2552,36;2494,27;2526,36;2576,47;32469,33;
2021;BOYACA;PUERTO BOYACA;ECOPETROL S.A.;ABARCO;NARE;0;0;0;0;0;0;0;0;0;0;2232,61;2291,19;4523,8;
2021;BOYACA;PUERTO BOYACA;MANSAROVAR ENERGY COLOMBIA LTD;ABARCO;NARE;2606,15;2467,19;2522,54;2526,02;2242,44;1481,83;2178,96;2037,21;2280,04;2329,47;0;0;22671,85;
2022;BOYACA;PUERTO BOYACA;ECOPETROL S.A.;ABARCO;NARE;2078,48;2160,21;1941,69;2156,62;2051,2;1993,14;2102,47;2061,38;2080,1;2290,68;2313,94;1856,43;25086,34;
2023;BOYACA;PUERTO BOYACA;ECOPETROL S.A.;ABARCO;NARE;1877,78;1794,37;1816,18;1847,91;1917,64;1934,06;2013,75;1919,86;1859,24;1854,19;1826,44;1811,45;22472,87;
2013;CASANARE;OROCUE;C&C ENERGIA ;ABEDUS;CRAVOVIEJO;0;0;0;33,66666667;3,903225806;0,233333333;5,064516129;19;0;0;0;0;61,86774194;
2013;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;ABEJAS;ESTERO;233,8064516;307,9285714;262,9677419;265,9333333;271,483871;276,5333333;278,8064516;272,2258065;290,6333333;136,9032258;0;79,32258065;2676,5447;
2014;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;ABEJAS;ESTERO;109,7741935;246;239,516129;230,7;224,0322581;216,8333333;87,90322581;197,7096774;233,1666667;245,0967742;246,83;259,29;2536,852258;
2015;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;ABEJAS;ESTERO;259,6451613;258,2857143;231,2580645;204,4;212,4193548;214,8333333;25,90322581;217,9354839;216,9;214,1935484;215,0666667;201,1612903;2472,001843;
2016; CASANARE ; PAZ DE ARIPORO ; PERENCO COLOMBIA LIMITED ; ABEJAS ; ESTERO ;162,2580645;39,62068966;0;0;0;0;1,129032258;0;0;40,5483871;197,6666667;155,8387097;597,0615499;
2017;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;ABEJAS;ESTERO;150,7741935;146,1785714;152,5806452;153,5333333;162,1612903;118,8333333;166,476129;160,3741935;190,8883333;164,3741935;182,1006667;170,8912903;1919,166174;
2018;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;ABEJAS;ESTERO;177,6419355;188,9514286;189,4909677;188,997;196,2483871;189,6693333;190,59;189,4358065;200,2686667;199,2864516;187,0646667;157,283871;2254,928515;
2020;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;ABEJAS;ESTERO;685,68;715,63;721,75;704,43;698,29;670,02;638,5;646,99;617,45;627,12;675,04;765,09;8165,99;
2021;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;ABEJAS;ESTERO;748,45;748;717,79;760,75;757,07;747,15;753,08;756,27;813,32;869,27;876,37;863,1;9410,62;
2022;CASANARE;PAZ DE ARIPORO;PERENCO COLOMBIA LIMITED;ABEJAS;ESTERO;843,02;789,45;901,52;873,99;868,6;869,13;848,85;846,08;846,88;847,26;899,7;854,01;10288,49;
